width,height,majority_pct,density,alpha,beta,decay,vision,aversion,iteration,step_count,Avg_Maj_Grievance,Avg_Min_Grievance,Avg_Maj_Threshold,Overall_Violence_Level
80,80,0.5,0.7,0.05,0.02,0.5,1,0.1,1,50,0.0,0.0,0.850625068237639,0.0
80,80,0.5,0.7,0.05,0.02,0.5,1,0.3,0,50,0.0,0.0,0.8508459300840047,0.0
80,80,0.5,0.7,0.05,0.02,0.5,1,0.5,0,50,0.0,0.0,0.8505991213071583,0.0
80,80,0.5,0.7,0.05,0.02,0.5,1,0.1,0,50,0.0,0.0,0.8508674417886671,0.0
80,80,0.5,0.7,0.05,0.02,0.5,1,0.2,1,50,0.0,0.0,0.8504830363741928,0.0
80,80,0.5,0.7,0.05,0.02,0.5,1,0.2,0,50,0.0,0.0,0.8506745401752652,0.0
80,80,0.5,0.7,0.05,0.02,0.5,1,0.4,1,50,0.0,0.0,0.8504024734412452,0.0
80,80,0.5,0.7,0.05,0.02,0.5,1,0.3,1,50,0.0,0.0,0.8506837087861076,0.0
80,80,0.5,0.7,0.05,0.02,0.5,1,0.0,1,50,0.0,0.0,0.8503964474531194,1.5625e-05
80,80,0.5,0.7,0.05,0.02,0.5,1,0.0,0,50,0.0,0.0,0.8508553986793752,0.0
80,80,0.5,0.7,0.05,0.02,0.5,1,0.4,0,50,0.0,0.0,0.8504482627001868,0.0
80,80,0.5,0.7,0.05,0.02,0.5,1,0.5,1,50,0.0,0.0,0.8507219010990478,1.5625244144439756e-05
80,80,0.5,0.7,0.05,0.02,0.6,1,0.4,1,50,0.0,0.0,0.8504969557735238,0.0
80,80,0.5,0.7,0.05,0.02,0.6,1,0.5,0,50,0.0,0.0,0.8502963901961309,1.5627197574658936e-05
80,80,0.5,0.7,0.05,0.02,0.6,1,0.5,1,50,0.0,0.0,0.8504239449196369,0.0
80,80,0.5,0.7,0.05,0.02,0.6,1,0.3,0,50,0.0,0.0,0.8503726114004694,0.0
80,80,0.5,0.7,0.05,0.02,0.6,1,0.2,1,50,0.0,0.0,0.8506244380312092,0.0
80,80,0.5,0.7,0.05,0.02,0.6,1,0.0,1,50,0.0,0.0,0.8501491232730732,0.0
80,80,0.5,0.7,0.05,0.02,0.6,1,0.3,1,50,0.0,0.0,0.8507270563502642,0.0
80,80,0.5,0.7,0.05,0.02,0.6,1,0.1,0,50,0.0,0.0,0.8506626812890563,0.0
80,80,0.5,0.7,0.05,0.02,0.6,1,0.2,0,50,0.0,0.0,0.8503897294354295,0.0
80,80,0.5,0.7,0.05,0.02,0.6,1,0.4,0,50,0.0,0.0,0.8505602265621433,0.0
80,80,0.5,0.7,0.05,0.02,0.6,1,0.0,0,50,0.0,0.0,0.8502530061006899,0.0
80,80,0.5,0.7,0.05,0.02,0.6,1,0.1,1,50,0.0,0.0,0.850382879301319,0.0
80,80,0.5,0.7,0.05,0.02,0.7,1,0.2,0,50,0.0,0.0,0.8498572340031197,0.0
80,80,0.5,0.7,0.05,0.02,0.7,1,0.4,1,50,0.0,0.0,0.8500282718655899,0.0
80,80,0.5,0.7,0.05,0.02,0.7,1,0.1,1,50,0.0,0.0,0.850272678803145,0.0
80,80,0.5,0.7,0.05,0.02,0.7,1,0.0,0,50,0.0,0.0,0.849857075953321,0.0
80,80,0.5,0.7,0.05,0.02,0.7,1,0.5,0,50,0.0,0.0,0.8502087305460428,0.0
80,80,0.5,0.7,0.05,0.02,0.7,1,0.4,0,50,0.0,0.0,0.8500055577058959,1.5627686008532716e-05
80,80,0.5,0.7,0.05,0.02,0.7,1,0.0,1,50,0.0,0.0,0.8500959828544243,0.0
80,80,0.5,0.7,0.05,0.02,0.7,1,0.2,1,50,0.0,0.0,0.8498228890661196,0.0
80,80,0.5,0.7,0.05,0.02,0.7,1,0.5,1,50,0.0,0.0,0.8500353139193062,0.0
80,80,0.5,0.7,0.05,0.02,0.7,1,0.3,1,50,0.0,0.0,0.8499806327444507,0.0
80,80,0.5,0.7,0.05,0.02,0.7,1,0.1,0,50,0.0,0.0,0.8500124219012021,0.0
80,80,0.5,0.7,0.05,0.02,0.7,1,0.3,0,50,0.0,0.0,0.8499927369666436,0.0
80,80,0.5,0.7,0.05,0.02,0.8,1,0.2,1,50,0.0,0.0,0.8497366059309142,0.0
80,80,0.5,0.7,0.05,0.02,0.8,1,0.0,0,50,0.0,0.0,0.8496467820644071,0.0
80,80,0.5,0.7,0.05,0.02,0.8,1,0.3,0,50,0.0,0.0,0.8496819363162177,0.0
80,80,0.5,0.7,0.05,0.02,0.8,1,0.2,0,50,0.0,0.0,0.8490728319617289,0.0
80,80,0.5,0.7,0.05,0.02,0.8,1,0.1,1,50,0.0,0.0,0.8493442375960938,0.0
80,80,0.5,0.7,0.05,0.02,0.8,1,0.3,1,50,0.0,0.0,0.8493690281467359,0.0
80,80,0.5,0.7,0.05,0.02,0.8,1,0.1,0,50,0.0,0.0,0.8497948631412955,0.0
80,80,0.5,0.7,0.05,0.02,0.8,1,0.0,1,50,0.0,0.0,0.8496632639210068,0.0
80,80,0.5,0.7,0.05,0.02,0.8,1,0.4,0,50,0.0,0.0,0.8493107788488382,0.0
80,80,0.5,0.7,0.05,0.02,0.8,1,0.5,0,50,0.0,0.0,0.8495403692366329,0.0
80,80,0.5,0.7,0.05,0.02,0.8,1,0.4,1,50,0.0,0.0,0.8496005481909087,1.5627930236919424e-05
80,80,0.5,0.7,0.05,0.02,0.8,1,0.5,1,50,0.0,0.0,0.849732552456454,1.5626709171315614e-05
80,80,0.5,0.7,0.05,0.02,0.5,6,0.0,0,50,0.0,0.0,0.8506120673436349,0.0
80,80,0.5,0.7,0.05,0.02,0.5,6,0.4,1,50,0.0,0.0,0.8509376495107002,0.0
80,80,0.5,0.7,0.05,0.02,0.5,6,0.2,1,50,0.0,0.0,0.850840516738006,0.0
80,80,0.5,0.7,0.05,0.02,0.5,6,0.2,0,50,0.0,0.0,0.8508276051815745,0.0
80,80,0.5,0.7,0.05,0.02,0.6,6,0.1,1,50,0.0,0.0,0.8505945845631363,0.0
80,80,0.5,0.7,0.05,0.02,0.5,6,0.1,1,50,0.0,0.0,0.850809017076398,0.0
80,80,0.5,0.7,0.05,0.02,0.5,6,0.3,0,50,0.0,0.0,0.8508454653916567,0.0
80,80,0.5,0.7,0.05,0.02,0.5,6,0.5,0,50,0.0,0.0,0.8507978587575719,0.0
80,80,0.5,0.7,0.05,0.02,0.6,6,0.2,1,50,0.0,0.0,0.8503476921020764,0.0
80,80,0.5,0.7,0.05,0.02,0.5,6,0.4,0,50,0.0,0.0,0.850648334554769,0.0
80,80,0.5,0.7,0.05,0.02,0.6,6,0.2,0,50,0.0,0.0,0.8504282027255552,0.0
80,80,0.5,0.7,0.05,0.02,0.6,6,0.3,1,50,0.0,0.0,0.8502610372514083,0.0
80,80,0.5,0.7,0.05,0.02,0.5,6,0.0,1,50,0.0,0.0,0.8507842052030684,0.0
80,80,0.5,0.7,0.05,0.02,0.5,6,0.1,0,50,0.0,0.0,0.8509670668460949,0.0
80,80,0.5,0.7,0.05,0.02,0.6,6,0.0,0,50,0.0,0.0,0.8507296523295904,0.0
80,80,0.5,0.7,0.05,0.02,0.5,6,0.3,1,50,0.0,0.0,0.8505600582192694,0.0
80,80,0.5,0.7,0.05,0.02,0.5,6,0.5,1,50,0.0,0.0,0.8509406364060057,0.0
80,80,0.5,0.7,0.05,0.02,0.6,6,0.1,0,50,0.0,0.0,0.850487886386798,0.0
80,80,0.5,0.7,0.05,0.02,0.6,6,0.3,0,50,0.0,0.0,0.8506041478095145,0.0
80,80,0.5,0.7,0.05,0.02,0.6,6,0.4,0,50,0.0,0.0,0.8506466629455198,0.0
80,80,0.5,0.7,0.05,0.02,0.6,6,0.0,1,50,0.0,0.0,0.850564203638561,0.0
80,80,0.5,0.7,0.05,0.02,0.6,6,0.4,1,50,0.0,0.0,0.8509245670759549,0.0
80,80,0.5,0.7,0.05,0.02,0.7,6,0.0,1,50,0.0,0.0,0.850170754364156,0.0
80,80,0.5,0.7,0.05,0.02,0.6,6,0.5,0,50,0.0,0.0,0.8505364597900986,0.0
80,80,0.5,0.7,0.05,0.02,0.6,6,0.5,1,50,0.0,0.0,0.850732393609017,0.0
80,80,0.5,0.7,0.05,0.02,0.7,6,0.2,0,50,0.0,0.0,0.8503190594635688,0.0
80,80,0.5,0.7,0.05,0.02,0.7,6,0.0,0,50,0.0,0.0,0.850034414102452,0.0
80,80,0.5,0.7,0.05,0.02,0.9,1,0.0,0,50,0.0,0.0,0.8484894750132181,0.0
80,80,0.5,0.7,0.05,0.02,0.9,1,0.0,1,50,0.0,0.0,0.848486140395958,0.0
80,80,0.5,0.7,0.05,0.02,0.9,1,0.1,0,50,0.0,0.0,0.8488149847262643,0.0
80,80,0.5,0.7,0.05,0.02,0.7,6,0.3,1,50,0.0,0.0,0.850145928026258,0.0
80,80,0.5,0.7,0.05,0.02,0.7,6,0.2,1,50,0.0,0.0,0.8503530999390327,0.0
80,80,0.5,0.7,0.05,0.02,0.9,1,0.2,0,50,0.0,0.0,0.8490516523491263,0.0
80,80,0.5,0.7,0.05,0.02,0.9,1,0.2,1,50,0.0,0.0,0.8485217124103261,0.0
80,80,0.5,0.7,0.05,0.02,0.9,1,0.1,1,50,0.0,0.0,0.8485160824209812,0.0
80,80,0.5,0.7,0.05,0.02,0.9,1,0.3,0,50,0.0,0.0,0.848441180417894,0.0
80,80,0.5,0.7,0.05,0.02,0.7,6,0.1,0,50,0.0,0.0,0.850097631077789,0.0
80,80,0.5,0.7,0.05,0.02,0.9,1,0.4,0,50,0.0,0.0,0.8485932436510101,0.0
80,80,0.5,0.7,0.05,0.02,0.9,1,0.3,1,50,0.0,0.0,0.8484274812728587,0.0
80,80,0.5,0.7,0.05,0.02,0.7,6,0.3,0,50,0.0,0.0,0.8500139014071065,0.0
80,80,0.5,0.7,0.05,0.02,0.9,1,0.4,1,50,0.0,0.0,0.8490080783489702,1.5625244144439756e-05
80,80,0.5,0.7,0.05,0.02,0.9,1,0.5,0,50,0.0,0.0,0.848620403195207,0.0
80,80,0.5,0.7,0.05,0.02,0.9,1,0.5,1,50,0.0,0.0,0.8485258377982663,4.688232536333802e-05
80,80,0.5,0.7,0.05,0.02,0.7,6,0.4,0,50,0.0,0.0,0.8501866984302241,0.0
80,80,0.5,0.7,0.05,0.02,0.7,6,0.1,1,50,0.0,0.0,0.8502365712761571,0.0
80,80,0.5,0.7,0.05,0.02,0.7,6,0.4,1,50,0.0,0.0,0.8501601521133919,0.0
80,80,0.5,0.7,0.05,0.02,0.7,6,0.5,1,50,0.0,0.0,0.8503102450244848,0.0
80,80,0.5,0.7,0.05,0.02,0.7,6,0.5,0,50,0.0,0.0,0.8500891236628549,1.5625e-05
80,80,0.5,0.7,0.05,0.06,0.5,1,0.0,0,50,0.0,0.0,0.9805288979519953,0.0
80,80,0.5,0.7,0.05,0.06,0.5,1,0.5,1,50,0.0,0.0,0.9805354825514183,0.0
80,80,0.5,0.7,0.05,0.06,0.5,1,0.4,0,50,0.0,0.0,0.9805427606464596,0.0
80,80,0.5,0.7,0.05,0.06,0.5,1,0.0,1,50,0.0,0.0,0.9805119565630137,0.0
80,80,0.5,0.7,0.05,0.06,0.5,1,0.1,0,50,0.0,0.0,0.9804467156087514,0.0
80,80,0.5,0.7,0.05,0.06,0.5,1,0.5,0,50,0.0,0.0,0.9805008308341855,3.125244159699976e-05
80,80,0.5,0.7,0.05,0.06,0.5,1,0.3,0,50,0.0,0.0,0.98057479572675,0.0
80,80,0.5,0.7,0.05,0.06,0.5,1,0.2,1,50,0.0,0.0,0.9805391843258994,0.0
80,80,0.5,0.7,0.05,0.06,0.5,1,0.4,1,50,0.0,0.0,0.9805056082736777,0.0
80,80,0.5,0.7,0.05,0.06,0.5,1,0.2,0,50,0.0,0.0,0.9805358167418771,0.0
80,80,0.5,0.7,0.05,0.06,0.5,1,0.3,1,50,0.0,0.0,0.9805118164693978,0.0
80,80,0.5,0.7,0.05,0.06,0.5,1,0.1,1,50,0.0,0.0,0.9805574689074616,0.0
80,80,0.5,0.7,0.05,0.02,0.8,6,0.2,0,50,0.0,0.0,0.8498454620097863,0.0
80,80,0.5,0.7,0.05,0.02,0.8,6,0.1,1,50,0.0,0.0,0.8502242725647627,0.0
80,80,0.5,0.7,0.05,0.06,0.6,1,0.2,0,50,0.0,0.0,0.9805216933643703,0.0
80,80,0.5,0.7,0.05,0.02,0.8,6,0.0,0,50,0.0,0.0,0.8496653687714747,0.0
80,80,0.5,0.7,0.05,0.06,0.6,1,0.3,0,50,0.0,0.0,0.9804685597499966,0.0
80,80,0.5,0.7,0.05,0.06,0.6,1,0.0,0,50,0.0,0.0,0.9804695564349705,0.0
80,80,0.5,0.7,0.05,0.06,0.6,1,0.2,1,50,0.0,0.0,0.9804972309900605,0.0
80,80,0.5,0.7,0.05,0.06,0.6,1,0.1,1,50,0.0,0.0,0.9804782582554185,0.0
80,80,0.5,0.7,0.05,0.06,0.6,1,0.0,1,50,0.0,0.0,0.9805815564624956,0.0
80,80,0.5,0.7,0.05,0.06,0.6,1,0.3,1,50,0.0,0.0,0.9804606262494253,0.0
80,80,0.5,0.7,0.05,0.06,0.6,1,0.4,0,50,0.0,0.0,0.9805152842186097,0.0
80,80,0.5,0.7,0.05,0.06,0.6,1,0.1,0,50,0.0,0.0,0.9805490686161609,0.0
80,80,0.5,0.7,0.05,0.02,0.8,6,0.1,0,50,0.0,0.0,0.8498518005669725,0.0
80,80,0.5,0.7,0.05,0.02,0.8,6,0.0,1,50,0.0,0.0,0.8498598130564895,0.0
80,80,0.5,0.7,0.05,0.02,0.8,6,0.2,1,50,0.0,0.0,0.8499357815563292,0.0
80,80,0.5,0.7,0.05,0.02,0.8,6,0.3,0,50,0.0,0.0,0.8500583600536433,0.0
80,80,0.5,0.7,0.05,0.06,0.6,1,0.4,1,50,0.0,0.0,0.9805100685095707,0.0
80,80,0.5,0.7,0.05,0.02,0.8,6,0.3,1,50,0.0,0.0,0.8500407595311417,0.0
80,80,0.5,0.7,0.05,0.06,0.6,1,0.5,0,50,0.0,0.0,0.980488494374936,0.0
80,80,0.5,0.7,0.05,0.02,0.8,6,0.4,0,50,0.0,0.0,0.8492041436729649,0.0
80,80,0.5,0.7,0.05,0.06,0.6,1,0.5,1,50,0.0,0.0,0.9804850713973948,0.0
80,80,0.5,0.7,0.05,0.06,0.7,1,0.0,0,50,0.0,0.0,0.9804928242050902,0.0
80,80,0.5,0.7,0.05,0.06,0.7,1,0.0,1,50,0.0,0.0,0.9805197231177472,0.0
80,80,0.5,0.7,0.05,0.06,0.7,1,0.1,0,50,0.0,0.0,0.9805159390006746,0.0
80,80,0.5,0.7,0.05,0.06,0.7,1,0.1,1,50,0.0,0.0,0.9805019941018138,0.0
80,80,0.5,0.7,0.05,0.06,0.7,1,0.2,1,50,0.0,0.0,0.9804184245251547,0.0
80,80,0.5,0.7,0.05,0.06,0.7,1,0.2,0,50,0.0,0.0,0.9804703342600061,0.0
80,80,0.5,0.7,0.05,0.06,0.7,1,0.3,0,50,0.0,0.0,0.9804715555398589,1.5625e-05
80,80,0.5,0.7,0.05,0.06,0.7,1,0.3,1,50,0.0,0.0,0.9804454404076447,0.0
80,80,0.5,0.7,0.05,0.06,0.7,1,0.4,0,50,0.0,0.0,0.980471547393428,0.0
80,80,0.5,0.7,0.05,0.06,0.7,1,0.5,0,50,0.0,0.0,0.9804022896949197,0.0
80,80,0.5,0.7,0.05,0.06,0.7,1,0.4,1,50,0.0,0.0,0.9804955223824621,0.0
80,80,0.5,0.7,0.05,0.06,0.7,1,0.5,1,50,0.0,0.0,0.9804236414364881,0.0
80,80,0.5,0.7,0.05,0.02,0.8,6,0.4,1,50,0.0,0.0,0.849731346229841,0.0
80,80,0.5,0.7,0.05,0.02,0.8,6,0.5,0,50,0.0,0.0,0.8499171352736458,0.0
80,80,0.5,0.7,0.05,0.02,0.8,6,0.5,1,50,0.0,0.0,0.849678921549667,0.0
80,80,0.5,0.7,0.05,0.02,0.9,6,0.0,0,50,0.0,0.0,0.8488749473695663,0.0
80,80,0.5,0.7,0.05,0.02,0.9,6,0.1,1,50,0.0,0.0,0.8488605662468701,0.0
80,80,0.5,0.7,0.05,0.02,0.9,6,0.1,0,50,0.0,0.0,0.8491797648591718,0.0
80,80,0.5,0.7,0.05,0.02,0.9,6,0.0,1,50,0.0,0.0,0.8489630522658926,0.0
80,80,0.5,0.7,0.05,0.02,0.9,6,0.2,1,50,0.0,0.0,0.8489963177755353,0.0
80,80,0.5,0.7,0.05,0.02,0.9,6,0.2,0,50,0.0,0.0,0.8488320380445139,0.0
80,80,0.5,0.7,0.05,0.02,0.9,6,0.3,1,50,0.0,0.0,0.8490053746147991,0.0
80,80,0.5,0.7,0.05,0.02,0.9,6,0.5,0,50,0.0,0.0,0.848815754304291,0.0
80,80,0.5,0.7,0.05,0.02,0.9,6,0.4,0,50,0.0,0.0,0.8488512335983452,0.0
80,80,0.5,0.7,0.05,0.02,0.9,6,0.3,0,50,0.0,0.0,0.849179046471961,0.0
80,80,0.5,0.7,0.05,0.02,0.9,6,0.4,1,50,0.0,0.0,0.8493206229153798,0.0
80,80,0.5,0.7,0.05,0.02,0.9,6,0.5,1,50,0.0,0.0,0.8489853861702519,0.0
80,80,0.5,0.7,0.05,0.06,0.5,6,0.0,1,50,0.0,0.0,0.9805501824254419,0.0
80,80,0.5,0.7,0.05,0.06,0.5,6,0.0,0,50,0.0,0.0,0.9805711929251532,0.0
80,80,0.5,0.7,0.05,0.06,0.5,6,0.1,0,50,0.0,0.0,0.9805526679336601,0.0
80,80,0.5,0.7,0.05,0.06,0.5,6,0.1,1,50,0.0,0.0,0.9805899684241123,0.0
80,80,0.5,0.7,0.05,0.06,0.8,1,0.0,0,50,0.0,0.0,0.9805132642534965,0.0
80,80,0.5,0.7,0.05,0.06,0.5,6,0.2,0,50,0.0,0.0,0.9805701066882108,0.0
80,80,0.5,0.7,0.05,0.06,0.5,6,0.2,1,50,0.0,0.0,0.9806109322612949,0.0
80,80,0.5,0.7,0.05,0.06,0.8,1,0.0,1,50,0.0,0.0,0.9804749681858931,0.0
80,80,0.5,0.7,0.05,0.06,0.8,1,0.1,0,50,0.0,0.0,0.9804719321188068,0.0
80,80,0.5,0.7,0.05,0.06,0.8,1,0.1,1,50,0.0,0.0,0.9804022724064485,0.0
80,80,0.5,0.7,0.05,0.06,0.8,1,0.2,0,50,0.0,0.0,0.9803989505256986,0.0
80,80,0.5,0.7,0.05,0.06,0.8,1,0.2,1,50,0.0,0.0,0.9804925953738368,0.0
80,80,0.5,0.7,0.05,0.06,0.8,1,0.3,0,50,0.0,0.0,0.9804229936804206,0.0
80,80,0.5,0.7,0.05,0.06,0.5,6,0.3,1,50,0.0,0.0,0.980560133712588,0.0
80,80,0.5,0.7,0.05,0.06,0.5,6,0.5,0,50,0.0,0.0,0.9805602101592945,0.0
80,80,0.5,0.7,0.05,0.06,0.5,6,0.3,0,50,0.0,0.0,0.9805595475655391,0.0
80,80,0.5,0.7,0.05,0.06,0.8,1,0.3,1,50,0.0,0.0,0.980423903275189,1.5625488296509265e-05
80,80,0.5,0.7,0.05,0.06,0.8,1,0.4,0,50,0.0,0.0,0.980451602843921,0.0
80,80,0.5,0.7,0.05,0.06,0.5,6,0.4,1,50,0.0,0.0,0.9805516092727695,0.0
80,80,0.5,0.7,0.05,0.06,0.5,6,0.4,0,50,0.0,0.0,0.9805647070532738,0.0
80,80,0.5,0.7,0.05,0.06,0.5,6,0.5,1,50,0.0,0.0,0.9805831765825086,0.0
80,80,0.5,0.7,0.05,0.06,0.8,1,0.4,1,50,0.0,0.0,0.9804835181930555,0.0
80,80,0.5,0.7,0.05,0.06,0.8,1,0.5,0,50,0.0,0.0,0.9804284031389617,3.126025727191735e-05
80,80,0.5,0.7,0.05,0.06,0.8,1,0.5,1,50,0.0,0.0,0.980450491413694,0.0
80,80,0.5,0.7,0.05,0.06,0.9,1,0.0,0,50,0.0,0.0,0.9803788395979595,0.0
80,80,0.5,0.7,0.05,0.06,0.9,1,0.1,0,50,0.0,0.0,0.980410406599934,0.0
80,80,0.5,0.7,0.05,0.06,0.9,1,0.0,1,50,0.0,0.0,0.9803510851178442,0.0
80,80,0.5,0.7,0.05,0.06,0.9,1,0.1,1,50,0.0,0.0,0.9804303756988804,0.0
80,80,0.5,0.7,0.05,0.06,0.6,6,0.3,0,50,0.0,0.0,0.980518592063389,0.0
80,80,0.5,0.7,0.05,0.06,0.9,1,0.2,0,50,0.0,0.0,0.980382262602917,0.0
80,80,0.5,0.7,0.05,0.06,0.9,1,0.2,1,50,0.0,0.0,0.9804083712547933,1.5625732456208885e-05
80,80,0.5,0.7,0.05,0.06,0.9,1,0.3,0,50,0.0,0.0,0.9804108395817673,0.0
80,80,0.5,0.7,0.05,0.06,0.9,1,0.3,1,50,0.0,0.0,0.980457233315603,0.0
80,80,0.5,0.7,0.05,0.06,0.6,6,0.1,0,50,0.0,0.0,0.9805318675312578,0.0
80,80,0.5,0.7,0.05,0.06,0.9,1,0.4,0,50,0.0,0.0,0.9804430149154307,0.0
80,80,0.5,0.7,0.05,0.06,0.6,6,0.1,1,50,0.0,0.0,0.9805123330698956,0.0
80,80,0.5,0.7,0.05,0.06,0.6,6,0.0,1,50,0.0,0.0,0.980499157971619,0.0
80,80,0.5,0.7,0.05,0.06,0.6,6,0.2,0,50,0.0,0.0,0.9805866233286837,0.0
80,80,0.5,0.7,0.05,0.06,0.6,6,0.3,1,50,0.0,0.0,0.9806102231549877,0.0
80,80,0.5,0.7,0.05,0.06,0.6,6,0.2,1,50,0.0,0.0,0.9805762886422036,0.0
80,80,0.5,0.7,0.05,0.06,0.6,6,0.0,0,50,0.0,0.0,0.9805125836121492,0.0
80,80,0.5,0.7,0.05,0.06,0.6,6,0.5,0,50,0.0,0.0,0.9805873214338968,0.0
80,80,0.5,0.7,0.05,0.06,0.6,6,0.4,1,50,0.0,0.0,0.9805465139885338,0.0
80,80,0.5,0.7,0.05,0.06,0.6,6,0.4,0,50,0.0,0.0,0.980558859839816,0.0
80,80,0.5,0.7,0.05,0.06,0.6,6,0.5,1,50,0.0,0.0,0.9805776685765926,0.0
80,80,0.5,0.7,0.05,0.06,0.9,1,0.4,1,50,0.0,0.0,0.9804339401197419,0.0
80,80,0.5,0.7,0.05,0.06,0.9,1,0.5,0,50,0.0,0.0,0.9804391461849286,0.0
