RunId,iteration,Step,width,height,majority_pct,density,alpha,beta,decay,vision,Avg_Maj_Grievance,Avg_Min_Grievance,Avg_Maj_Threshold,Overall_Violence_Level
45,0,50,60,60,0.6,0.7,0.2,0.2,0.9,1,0.0,0.0,0.9999932996541804,0.0
46,0,50,60,60,0.6,0.7,0.2,0.3,0.8,1,0.0,0.0,0.9999999912174924,0.0
47,0,50,60,60,0.6,0.7,0.2,0.3,0.9,1,0.0,0.0,0.9999999905921945,0.0
48,0,50,60,60,0.6,0.7,0.3,0.05,0.8,1,0.7837495620850687,0.8458732864925557,0.03895725015785611,0.8281475719524392
49,0,50,60,60,0.6,0.7,0.3,0.05,0.9,1,0.9124377840123136,0.9376544465468211,0.011414245304947572,0.9413333333333334
50,0,50,60,60,0.6,0.7,0.3,0.1,0.8,1,0.0,0.0,0.9946314431631851,0.0005278657554036784
51,0,50,60,60,0.6,0.7,0.3,0.1,0.9,1,0.7658601201759504,0.8041384123166431,0.2042106997351254,0.6916944444444444
52,0,50,60,60,0.6,0.7,0.3,0.2,0.8,1,0.0,0.0,0.9999927281316648,0.0
53,0,50,60,60,0.6,0.7,0.3,0.2,0.9,1,0.0,0.0,0.9999914471600052,0.0
54,0,50,60,60,0.6,0.7,0.3,0.3,0.8,1,0.0,0.0,0.9999999876718513,0.0
55,0,50,60,60,0.6,0.7,0.3,0.3,0.9,1,0.0,0.0,0.9999999740695386,0.0
56,0,50,60,60,0.6,0.7,0.4,0.05,0.8,1,0.8032337720350423,0.8516195269630923,0.02235579939165512,0.8610555555555556
57,0,50,60,60,0.6,0.7,0.4,0.05,0.9,1,0.9102312762894701,0.9348781693471995,0.008084997817587796,0.9421944444444444
58,0,50,60,60,0.6,0.7,0.4,0.1,0.8,1,0.7455358796411637,0.7950839282572633,0.11304007236790863,0.7298055555555556
59,0,50,60,60,0.6,0.7,0.4,0.1,0.9,1,0.9096082572248881,0.9295626695364139,0.019349579576725562,0.9332703633737082
60,0,50,60,60,0.6,0.7,0.4,0.2,0.8,1,0.0,0.0,0.9994403124728303,0.0008057346076905979
61,0,50,60,60,0.6,0.7,0.4,0.2,0.9,1,0.5833731479256662,0.6254642550520289,0.3939589989637069,0.4905408784065339
62,0,50,60,60,0.6,0.7,0.4,0.3,0.8,1,0.0,0.0,0.9999999848680665,0.0
63,0,50,60,60,0.6,0.7,0.4,0.3,0.9,1,0.0,0.0,0.9999354036892766,0.00030555555555555555
64,0,50,60,60,0.8,0.5,0.1,0.05,0.8,1,0.0,0.0,0.963789207311866,0.0003476447071093343
65,0,50,60,60,0.8,0.5,0.1,0.05,0.9,1,6.385150905069783e-07,0.0,0.9629078088056001,0.0007394699479413157
66,0,50,60,60,0.8,0.5,0.1,0.1,0.8,1,0.0,0.0,0.9968663375954119,0.00038138825324180017
67,0,50,60,60,0.8,0.5,0.1,0.1,0.9,1,0.0,0.0,0.996953547101585,0.0003522573827276463
68,0,50,60,60,0.8,0.5,0.1,0.2,0.8,1,0.0,0.0,0.9999557589536603,0.0003798836971450279
69,0,50,60,60,0.8,0.5,0.1,0.2,0.9,1,0.0,0.0,0.9999751197761334,0.0002874141350271606
70,0,50,60,60,0.8,0.5,0.1,0.3,0.8,1,0.0,0.0,0.9999999323465388,0.00017399878200852594
71,0,50,60,60,0.8,0.5,0.1,0.3,0.9,1,0.0,0.0,0.9999998019903802,0.0004070832485243232
72,0,50,60,60,0.8,0.5,0.2,0.05,0.8,1,0.0,0.0,0.9579984566613596,0.002099692236891305
73,0,50,60,60,0.8,0.5,0.2,0.05,0.9,1,0.23813768258908335,0.418707062539369,0.635728336299887,0.19988904785541184
74,0,50,60,60,0.8,0.5,0.2,0.1,0.8,1,0.0,0.0,0.9969144502740807,0.0003509079743837179
75,0,50,60,60,0.8,0.5,0.2,0.1,0.9,1,1.7123472477544985e-05,0.0,0.9950922156278911,0.002428236926545833
76,0,50,60,60,0.8,0.5,0.2,0.2,0.8,1,0.0,0.0,0.9999800634537079,0.0004371138827369157
77,0,50,60,60,0.8,0.5,0.2,0.2,0.9,1,0.0,0.0,0.999978703505931,0.00040880686795538167
78,0,50,60,60,0.8,0.5,0.2,0.3,0.8,1,0.0,0.0,0.9999997238018042,0.0001156704548740638
79,0,50,60,60,0.8,0.5,0.2,0.3,0.9,1,0.0,0.0,0.999999736433408,0.0003498848295769309
80,0,50,60,60,0.8,0.5,0.3,0.05,0.8,1,0.41159084658576284,0.7264431123671594,0.27097163535947266,0.4316379310344828
81,0,50,60,60,0.8,0.5,0.3,0.05,0.9,1,0.7603933266579014,0.9445407631578913,0.05074085299913971,0.7789200863930885
82,0,50,60,60,0.8,0.5,0.3,0.1,0.8,1,0.0,0.0,0.9910844439897385,0.005790270018621974
83,0,50,60,60,0.8,0.5,0.3,0.1,0.9,1,0.4586368226314407,0.658252833075528,0.4350568410115178,0.367984934086629
84,0,50,60,60,0.8,0.5,0.3,0.2,0.8,1,0.0,0.0,0.9999765200616102,0.0007036266088129233
85,0,50,60,60,0.8,0.5,0.3,0.2,0.9,1,0.0,0.0,0.9999773755762358,0.0012448252902179891
86,0,50,60,60,0.8,0.5,0.3,0.3,0.8,1,0.0,0.0,0.9999997961349942,0.00040995607613469984
87,0,50,60,60,0.8,0.5,0.3,0.3,0.9,1,0.0,0.0,0.9999998433747258,0.0009305030532131434
88,0,50,60,60,0.8,0.5,0.4,0.05,0.8,1,0.5671233492328323,0.8694397894736867,0.05789990177877054,0.6943478635671388
89,0,50,60,60,0.8,0.5,0.4,0.05,0.9,1,0.7900088179163807,0.9513631578947338,0.018650129236557532,0.8709185581542533
90,0,50,60,60,0.8,0.5,0.4,0.1,0.8,1,0.3725186202985426,0.6457794526315802,0.33947619225149983,0.4219900124123199
91,0,50,60,60,0.8,0.5,0.4,0.1,0.9,1,0.7789046383399031,0.9468210526315759,0.041893627158990684,0.79724133992061
92,0,50,60,60,0.8,0.5,0.4,0.2,0.8,1,0.0,0.0,0.9999312743517322,0.0021755525903579508
93,0,50,60,60,0.8,0.5,0.4,0.2,0.9,1,0.1443604912871372,0.21310421052631595,0.8209052034177814,0.12192238943666033
94,0,50,60,60,0.8,0.5,0.4,0.3,0.8,1,0.0,0.0,0.9999884232011669,0.0023272050267628577
95,0,50,60,60,0.8,0.5,0.4,0.3,0.9,1,0.0,0.0,0.9998878625035931,0.003987334349712678
96,0,50,60,60,0.8,0.7,0.1,0.05,0.8,1,0.0,0.0,0.9658565148121435,2.794545048066175e-05
97,0,50,60,60,0.8,0.7,0.1,0.05,0.9,1,0.0,0.0,0.9651556789821303,8.378016085790885e-05
98,0,50,60,60,0.8,0.7,0.1,0.1,0.8,1,0.0,0.0,0.9975881381647725,0.00011159780152330999
99,0,50,60,60,0.8,0.7,0.1,0.1,0.9,1,0.0,0.0,0.9975410648500453,0.0
100,0,50,60,60,0.8,0.7,0.1,0.2,0.8,1,0.0,0.0,0.9999909491548279,0.0
101,0,50,60,60,0.8,0.7,0.1,0.2,0.9,1,0.0,0.0,0.9999907706696547,2.78955590270029e-05
102,0,50,60,60,0.8,0.7,0.1,0.3,0.8,1,0.0,0.0,0.9999999793355019,0.00013983276001901726
103,0,50,60,60,0.8,0.7,0.1,0.3,0.9,1,0.0,0.0,0.999999963126025,0.0
104,0,50,60,60,0.8,0.7,0.2,0.05,0.8,1,0.001006560135317954,0.003342235741444867,0.9534722521511543,0.002640649321770069
105,0,50,60,60,0.8,0.7,0.2,0.05,0.9,1,0.31267563771240087,0.48043249977708996,0.597135961685519,0.27843214055899057
106,0,50,60,60,0.8,0.7,0.2,0.1,0.8,1,0.0,0.0,0.9975049184165612,2.7835768963117608e-05
107,0,50,60,60,0.8,0.7,0.2,0.1,0.9,1,0.0,0.0,0.9963156601718897,0.0006414368184733803
108,0,50,60,60,0.8,0.7,0.2,0.2,0.8,1,0.0,0.0,0.999990952855995,0.0
109,0,50,60,60,0.8,0.7,0.2,0.2,0.9,1,0.0,0.0,0.9999861083225882,0.0001687241641123703
110,0,50,60,60,0.8,0.7,0.2,0.3,0.8,1,0.0,0.0,0.9999999739383264,0.00011136787593618621
111,0,50,60,60,0.8,0.7,0.2,0.3,0.9,1,0.0,0.0,0.9999999766747907,0.0
112,0,50,60,60,0.8,0.7,0.3,0.05,0.8,1,0.585397337542497,0.8680135361216754,0.09823884825191863,0.6910693859330971
113,0,50,60,60,0.8,0.7,0.3,0.05,0.9,1,0.8309521849604201,0.9539733840304133,0.01913749019325086,0.9063561918556069
114,0,50,60,60,0.8,0.7,0.3,0.1,0.8,1,0.0005238493100020579,0.000899771863117871,0.9857837805353968,0.005908584169453735
